Query;country;customer_id;contact_name;company_name
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');Mexico;ANATR;Ana Trujillo;Ana Trujillo Emparedados y helados
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');Mexico;ANTON;Antonio Moreno;Antonio Moreno Taquería
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');Sweden;BERGS;Christina Berglund;Berglunds snabbköp
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');France;BLONP;Frédérique Citeaux;Blondesddsl père et fils
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');Spain;BOLID;Martín Sommer;Bólido Comidas preparadas
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');France;BONAP;Laurence Lebihan;Bon app'
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');Canada;BOTTM;Elizabeth Lincoln;Bottom-Dollar Markets
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');Argentina;CACTU;Patricio Simpson;Cactus Comidas para llevar
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');Mexico;CENTC;Francisco Chang;Centro comercial Moctezuma
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');Switzerland;CHOPS;Yang Wang;Chop-suey Chinese
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');Brazil;COMMI;Pedro Afonso;Comércio Mineiro
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');France;DUMON;Janine Labrune;Du monde entier
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');Austria;ERNSH;Roland Mendel;Ernst Handel
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');Brazil;FAMIA;Aria Cruz;Familia Arquibaldo
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');Spain;FISSA;Diego Roel;FISSA Fabrica Inter. Salchichas S.A.
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');France;FOLIG;Martine Rancé;Folies gourmandes
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');Sweden;FOLKO;Maria Larsson;Folk och fä HB
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');France;FRANR;Carine Schmitt;France restauration
